trial,owner,repo,api_type,response_time_ms,response_size_bytes,http_status
11,twbs,bootstrap,REST,531.247,6205,200
11,ohmyzsh,ohmyzsh,REST,425.622,6661,200
11,ohmyzsh,ohmyzsh,GraphQL,425.365,544,200
11,angular,angular,REST,524.288,6473,200
11,angular,angular,GraphQL,424.157,241,200
11,golang,go,GraphQL,375.287,219,200
11,golang,go,REST,467.272,6125,200
11,kubernetes,kubernetes,REST,563.618,6600,200
11,kubernetes,kubernetes,GraphQL,421.237,252,200
11,nodejs,node,REST,526.965,6037,200
11,nodejs,node,GraphQL,418.11,243,200
11,django,django,GraphQL,527.252,248,200
11,django,django,REST,529.057,6209,200
11,rails,rails,GraphQL,420.411,208,200
11,rails,rails,REST,422.916,5969,200
11,laravel,laravel,GraphQL,400.84,387,200
11,laravel,laravel,REST,548.132,6228,200
11,flutter,flutter,GraphQL,422.585,276,200
11,flutter,flutter,REST,476.236,6655,200
11,denoland,deno,REST,471.839,6161,200
11,denoland,deno,GraphQL,421.658,242,200
11,rust-lang,rust,REST,526.903,6264,200
11,rust-lang,rust,GraphQL,526.912,258,200
11,apple,swift,GraphQL,528.862,227,200
11,apple,swift,REST,687.383,6249,200
11,libp2p,go-libp2p,GraphQL,447.875,222,200
11,libp2p,go-libp2p,REST,446.615,6195,200
11,python,cpython,GraphQL,426.632,231,200
11,python,cpython,REST,438.637,6080,200
12,facebook,react,REST,819.941,6035,200
12,facebook,react,GraphQL,419.863,249,200
12,vuejs,vue,REST,406.627,5949,200
12,vuejs,vue,GraphQL,434.399,274,200
12,microsoft,vscode,GraphQL,525.27,223,200
12,microsoft,vscode,REST,526.595,6517,200
12,torvalds,linux,REST,378.733,5079,200
12,torvalds,linux,GraphQL,462.37,215,200
12,tensorflow,tensorflow,GraphQL,1036.376,254,200
12,tensorflow,tensorflow,REST,503.403,6822,200
12,twbs,bootstrap,GraphQL,451.587,312,200
12,twbs,bootstrap,REST,422.811,6205,200
12,ohmyzsh,ohmyzsh,GraphQL,428.104,544,200
12,ohmyzsh,ohmyzsh,REST,527.563,6661,200
12,angular,angular,GraphQL,425.292,241,200
12,angular,angular,REST,481.369,6473,200
12,golang,go,GraphQL,470.182,219,200
12,golang,go,REST,529.586,6125,200
12,kubernetes,kubernetes,GraphQL,424.099,252,200
12,kubernetes,kubernetes,REST,454.246,6600,200
12,nodejs,node,GraphQL,401.306,243,200
12,nodejs,node,REST,529.13,6037,200
12,django,django,REST,734.238,6209,200
12,django,django,GraphQL,521.296,248,200
12,rails,rails,REST,524.593,5969,200
12,rails,rails,GraphQL,342.463,208,200
12,laravel,laravel,GraphQL,610.428,387,200
12,laravel,laravel,REST,500.984,6228,200
12,flutter,flutter,REST,554.53,6655,200
12,flutter,flutter,GraphQL,421.801,276,200
12,denoland,deno,REST,435.894,6161,200
12,denoland,deno,GraphQL,514.123,242,200
12,rust-lang,rust,GraphQL,522.831,258,200
12,rust-lang,rust,REST,475.665,6264,200
12,apple,swift,REST,882.87,6249,200
12,apple,swift,GraphQL,422.083,227,200
12,libp2p,go-libp2p,GraphQL,422.696,222,200
12,libp2p,go-libp2p,REST,435.648,6195,200
12,python,cpython,GraphQL,519.096,231,200
12,python,cpython,REST,524.086,6080,200
13,facebook,react,REST,708.678,6035,200
13,facebook,react,GraphQL,443.937,249,200
13,vuejs,vue,GraphQL,427.948,274,200
13,vuejs,vue,REST,465.234,5949,200
13,microsoft,vscode,GraphQL,495.177,223,200
13,microsoft,vscode,REST,633.898,6517,200
13,torvalds,linux,REST,381.901,5079,200
13,torvalds,linux,GraphQL,461.608,215,200
13,tensorflow,tensorflow,GraphQL,425.984,254,200
13,tensorflow,tensorflow,REST,524.898,6822,200
13,twbs,bootstrap,GraphQL,384.388,312,200
13,twbs,bootstrap,REST,476.207,6205,200
13,ohmyzsh,ohmyzsh,REST,526.06,6661,200
13,ohmyzsh,ohmyzsh,GraphQL,342.683,544,200
13,angular,angular,REST,501.618,6473,200
13,angular,angular,GraphQL,519.891,241,200
13,golang,go,GraphQL,395.385,219,200
13,golang,go,REST,561.594,6125,200
13,kubernetes,kubernetes,GraphQL,426.979,252,200
13,kubernetes,kubernetes,REST,532.533,6600,200
13,nodejs,node,GraphQL,392.765,243,200
13,nodejs,node,REST,456.08,6037,200
13,django,django,GraphQL,422.417,248,200
13,django,django,REST,403.799,6209,200
13,rails,rails,GraphQL,541.737,208,200
13,rails,rails,REST,419.67,5969,200
13,laravel,laravel,GraphQL,425.159,387,200
13,laravel,laravel,REST,732.559,6228,200
13,flutter,flutter,REST,526.225,6655,200
13,flutter,flutter,GraphQL,526.152,276,200
13,denoland,deno,REST,466.502,6161,200
13,denoland,deno,GraphQL,489.154,242,200
13,rust-lang,rust,GraphQL,421.87,258,200
13,rust-lang,rust,REST,455.499,6264,200
13,apple,swift,REST,799.197,6249,200
13,apple,swift,GraphQL,350.575,227,200
13,libp2p,go-libp2p,GraphQL,374.428,222,200
13,libp2p,go-libp2p,REST,553.208,6195,200
13,python,cpython,REST,523.991,6080,200
13,python,cpython,GraphQL,419.9,231,200
14,facebook,react,REST,730.35,6035,200
14,facebook,react,GraphQL,451.453,249,200
14,vuejs,vue,REST,500.35,5949,200
14,vuejs,vue,GraphQL,374.516,274,200
14,microsoft,vscode,GraphQL,477.308,223,200
14,microsoft,vscode,REST,577.81,6517,200
14,torvalds,linux,GraphQL,370.918,215,200
14,torvalds,linux,REST,419.507,5079,200
14,tensorflow,tensorflow,GraphQL,599.135,254,200
14,tensorflow,tensorflow,REST,522.104,6822,200
14,twbs,bootstrap,GraphQL,466.787,312,200
14,twbs,bootstrap,REST,625.959,6205,200
14,ohmyzsh,ohmyzsh,REST,446.417,6661,200
14,ohmyzsh,ohmyzsh,GraphQL,363.303,544,200
14,angular,angular,GraphQL,496.64,241,200
14,angular,angular,REST,509.779,6473,200
14,golang,go,GraphQL,375.372,219,200
14,golang,go,REST,577.766,6125,200
14,kubernetes,kubernetes,GraphQL,424.365,252,200
14,kubernetes,kubernetes,REST,467.268,6600,200
14,nodejs,node,REST,582.413,6037,200
14,nodejs,node,GraphQL,377.003,243,200
14,django,django,GraphQL,471.345,248,200
14,django,django,REST,420.602,6209,200
14,rails,rails,REST,423.473,5969,200
14,rails,rails,GraphQL,376.718,208,200
14,laravel,laravel,GraphQL,415.059,387,200
14,laravel,laravel,REST,478.055,6228,200
14,flutter,flutter,REST,480.82,6655,200
14,flutter,flutter,GraphQL,471.146,276,200
14,denoland,deno,REST,533.847,6161,200
14,denoland,deno,GraphQL,521.543,242,200
14,rust-lang,rust,REST,532.914,6264,200
14,rust-lang,rust,GraphQL,519.552,258,200
14,apple,swift,REST,841.624,6249,200
14,apple,swift,GraphQL,400.241,227,200
14,libp2p,go-libp2p,GraphQL,601.97,222,200
14,libp2p,go-libp2p,REST,466.126,6195,200
14,python,cpython,GraphQL,359.933,231,200
14,python,cpython,REST,447.605,6080,200
15,facebook,react,GraphQL,402.187,249,200
15,facebook,react,REST,802.912,6035,200
15,vuejs,vue,GraphQL,623.001,274,200
15,vuejs,vue,REST,468.838,5949,200
15,microsoft,vscode,GraphQL,472.704,223,200
15,microsoft,vscode,REST,534.46,6517,200
15,torvalds,linux,REST,422.547,5079,200
15,torvalds,linux,GraphQL,332.216,215,200
15,tensorflow,tensorflow,REST,616.87,6822,200
15,tensorflow,tensorflow,GraphQL,421.784,254,200
15,twbs,bootstrap,REST,408.776,6205,200
15,twbs,bootstrap,GraphQL,375.245,312,200
15,ohmyzsh,ohmyzsh,REST,482.718,6661,200
15,ohmyzsh,ohmyzsh,GraphQL,426.979,544,200
15,angular,angular,GraphQL,377.691,241,200
15,angular,angular,REST,475.333,6473,200
15,golang,go,REST,441.893,6125,200
15,golang,go,GraphQL,408.585,219,200
15,kubernetes,kubernetes,GraphQL,409.572,252,200
15,kubernetes,kubernetes,REST,548.832,6600,200
15,nodejs,node,GraphQL,378.547,243,200
15,nodejs,node,REST,428.286,6037,200
15,django,django,REST,461.326,6209,200
15,django,django,GraphQL,420.381,248,200
15,rails,rails,REST,418.623,5969,200
15,rails,rails,GraphQL,439.068,208,200
15,laravel,laravel,GraphQL,423.438,387,200
15,laravel,laravel,REST,438.128,6228,200
15,flutter,flutter,GraphQL,376.878,276,200
15,flutter,flutter,REST,558.323,6655,200
15,denoland,deno,REST,521.648,6161,200
15,denoland,deno,GraphQL,383.971,242,200
